# variant	size	slot	item	id	designed	file
brass	58	NECK	0	equip.neck.bowtie	1	brass_58_NECK_0_equip_neck_bowtie.png
brass	58	NECK	1	equip.neck.striped	1	brass_58_NECK_1_equip_neck_striped.png
brass	58	NECK	2	equip.neck.scarf	1	brass_58_NECK_2_equip_neck_scarf.png
brass	58	NECK	3	equip.neck.bell	1	brass_58_NECK_3_equip_neck_bell.png
brass	58	NECK	4	equip.neck.pendant	0	brass_58_NECK_4_equip_neck_pendant.png
brass	58	NECK	5	equip.neck.bandana	0	brass_58_NECK_5_equip_neck_bandana.png
brass	58	BACK	0	equip.shoulders.cape	1	brass_58_BACK_0_equip_shoulders_cape.png
brass	58	BACK	1	equip.shoulders.long_cape	1	brass_58_BACK_1_equip_shoulders_long_cape.png
brass	58	BACK	2	equip.shoulders.wings	1	brass_58_BACK_2_equip_shoulders_wings.png
brass	58	BACK	3	equip.shoulders.backpack	1	brass_58_BACK_3_equip_shoulders_backpack.png
brass	58	BACK	4	equip.shoulders.poncho	0	brass_58_BACK_4_equip_shoulders_poncho.png
brass	58	BACK	5	equip.shoulders.fairy_wings	0	brass_58_BACK_5_equip_shoulders_fairy_wings.png
brass	58	HAIR	0	look.hair.cowlick	0	brass_58_HAIR_0_look_hair_cowlick.png
brass	58	HAIR	1	look.hair.neat	0	brass_58_HAIR_1_look_hair_neat.png
brass	58	HAIR	2	look.hair.curly	0	brass_58_HAIR_2_look_hair_curly.png
brass	58	HAIR	3	look.hair.bald	0	brass_58_HAIR_3_look_hair_bald.png
brass	58	HAIR	4	look.hair.bowl	0	brass_58_HAIR_4_look_hair_bowl.png
brass	58	HAIR	5	look.hair.ponytail	0	brass_58_HAIR_5_look_hair_ponytail.png
prod	58	HEAD	0	equip.head.cap	1	prod_58_HEAD_0_equip_head_cap.png
prod	58	HEAD	1	equip.head.fur	1	prod_58_HEAD_1_equip_head_fur.png
prod	58	HEAD	2	equip.head.fedora	1	prod_58_HEAD_2_equip_head_fedora.png
prod	58	HEAD	3	equip.head.crown	1	prod_58_HEAD_3_equip_head_crown.png
prod	58	HEAD	4	equip.head.beret	0	prod_58_HEAD_4_equip_head_beret.png
prod	58	HEAD	5	equip.head.straw	0	prod_58_HEAD_5_equip_head_straw.png
prod	58	EYES	0	equip.eyes.sunglasses	1	prod_58_EYES_0_equip_eyes_sunglasses.png
prod	58	EYES	1	equip.eyes.round	1	prod_58_EYES_1_equip_eyes_round.png
prod	58	EYES	2	equip.eyes.goggles	1	prod_58_EYES_2_equip_eyes_goggles.png
prod	58	EYES	3	equip.eyes.monocle	1	prod_58_EYES_3_equip_eyes_monocle.png
prod	58	EYES	4	equip.eyes.browline	0	prod_58_EYES_4_equip_eyes_browline.png
prod	58	EYES	5	equip.eyes.patch	0	prod_58_EYES_5_equip_eyes_patch.png
prod	58	NECK	0	equip.neck.bowtie	1	prod_58_NECK_0_equip_neck_bowtie.png
prod	58	NECK	1	equip.neck.striped	1	prod_58_NECK_1_equip_neck_striped.png
prod	58	NECK	2	equip.neck.scarf	1	prod_58_NECK_2_equip_neck_scarf.png
prod	58	NECK	3	equip.neck.bell	1	prod_58_NECK_3_equip_neck_bell.png
prod	58	NECK	4	equip.neck.pendant	0	prod_58_NECK_4_equip_neck_pendant.png
prod	58	NECK	5	equip.neck.bandana	0	prod_58_NECK_5_equip_neck_bandana.png
prod	58	BACK	0	equip.shoulders.cape	1	prod_58_BACK_0_equip_shoulders_cape.png
prod	58	BACK	1	equip.shoulders.long_cape	1	prod_58_BACK_1_equip_shoulders_long_cape.png
prod	58	BACK	2	equip.shoulders.wings	1	prod_58_BACK_2_equip_shoulders_wings.png
prod	58	BACK	3	equip.shoulders.backpack	1	prod_58_BACK_3_equip_shoulders_backpack.png
prod	58	BACK	4	equip.shoulders.poncho	0	prod_58_BACK_4_equip_shoulders_poncho.png
prod	58	BACK	5	equip.shoulders.fairy_wings	0	prod_58_BACK_5_equip_shoulders_fairy_wings.png
prod	58	HAIR	0	look.hair.cowlick	0	prod_58_HAIR_0_look_hair_cowlick.png
prod	58	HAIR	1	look.hair.neat	0	prod_58_HAIR_1_look_hair_neat.png
prod	58	HAIR	2	look.hair.curly	0	prod_58_HAIR_2_look_hair_curly.png
prod	58	HAIR	3	look.hair.bald	0	prod_58_HAIR_3_look_hair_bald.png
prod	58	HAIR	4	look.hair.bowl	0	prod_58_HAIR_4_look_hair_bowl.png
prod	58	HAIR	5	look.hair.ponytail	0	prod_58_HAIR_5_look_hair_ponytail.png
